Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16,Team,Week 17
USC,47,Army,24,Boston College,31,Appalachian State,12,Colorado,12,Duke,17,UCF,11,Texas A&M,14,Louisiana Tech,7,Iowa State,3,Virginia,2,Virginia,12,USC,3,Hawai'i,2,San Diego State,3,Tennessee,4,Louisiana Tech,9
Fresno State,32,NC State,18,NC State,28,Temple,7,Minnesota,9,Tulane,16,Washington State,9,Louisiana Tech,6,UCF,6,UAB,3,Pittsburgh,1,Louisiana,1,Wake Forest,2,Indiana,2,Iowa State,3,Arizona State,3,Tennessee,8
Utah State,32,Miami,11,TCU,28,Mississippi State,6,Utah State,9,Utah State,15,Navy,8,Duke,5,Temple,3,Arizona State,3,Wyoming,1,UCF,1,Temple,1,Temple,1,Tennessee,3,Iowa State,3,Kentucky,5
Virginia,30,Boston College,10,Colorado,16,Minnesota,5,Tulane,8,Kansas State,13,TCU,5,UCF,4,Virginia Tech,2,Air Force,3,Akron,0,Wyoming,1,Kansas State,1,Akron,0,Virginia Tech,2,Kentucky,3,California,4
Cincinnati,25,USC,10,Stanford,8,Duke,4,Iowa State,7,Hawai'i,10,Mississippi State,3,Pittsburgh,3,UAB,1,Virginia Tech,3,Arizona,0,Akron,0,Akron,0,Arizona,0,Temple,1,Virginia Tech,2,Hawai'i,3
West Virginia,24,Northwestern,7,Hawai'i,7,Nebraska,4,Nebraska,7,USC,9,San Diego State,2,South Carolina,3,Indiana,1,Wyoming,2,Arizona State,0,Arizona,0,Arizona,0,Arizona State,0,Akron,0,California,1,Louisville,3
Memphis,24,Appalachian State,4,Appalachian State,6,Navy,4,Arizona State,6,TCU,6,Army,1,Air Force,0,Utah State,1,Virginia,2,Arkansas,0,Arizona State,0,Arizona State,0,Arkansas,0,Arizona,0,Hawai'i,1,Kansas State,3
Oklahoma State,20,Arizona State,4,Minnesota,5,Tulane,3,TCU,5,Mississippi State,3,Temple,1,Akron,0,Air Force,0,Akron,0,Arkansas State,0,Arkansas,0,Arkansas,0,Arkansas State,0,Arkansas,0,Akron,0,Oklahoma State,1
South Carolina,15,Tulane,4,Wyoming,3,Iowa State,3,Navy,4,Air Force,3,Air Force,0,Arizona,0,Akron,0,Arizona,0,Army,0,Arkansas State,0,Arkansas State,0,Army,0,Arkansas State,0,Arizona,0,Akron,0
NC State,12,Fresno State,3,Troy,2,Arizona,1,Duke,3,Washington State,3,Akron,0,Arkansas,0,Arizona,0,Arkansas,0,Ball State,0,Army,0,Army,0,Ball State,0,Army,0,Arkansas,0,Arizona,0
Duke,10,Hawai'i,3,Arizona State,2,Wyoming,1,Arizona,1,Wyoming,2,Arkansas,0,Arkansas State,0,Arkansas,0,Arkansas State,0,Boston College,0,Ball State,0,Ball State,0,Boston College,0,Ball State,0,Arkansas State,0,Arizona State,0
Boston College,5,Minnesota,3,Wake Forest,2,SMU,1,Hawai'i,1,Akron,0,Arkansas State,0,Army,0,Arkansas State,0,Army,0,Bowling Green,0,Boston College,0,Boston College,0,Bowling Green,0,Boston College,0,Army,0,Arkansas,0
Florida State,4,North Carolina,2,Nebraska,1,Air Force,0,Air Force,0,Arizona,0,Ball State,0,Ball State,0,Army,0,Ball State,0,Buffalo,0,Bowling Green,0,Bowling Green,0,Buffalo,0,Bowling Green,0,Ball State,0,Arkansas State,0
Baylor,4,Troy,2,Navy,1,Akron,0,Akron,0,Arkansas,0,Boston College,0,Boston College,0,Ball State,0,Boston College,0,BYU,0,Buffalo,0,Buffalo,0,BYU,0,Buffalo,0,Boston College,0,Army,0
Appalachian State,4,Wyoming,1,Tulane,1,Arkansas,0,Arkansas,0,Arkansas State,0,Bowling Green,0,Bowling Green,0,Boston College,0,Bowling Green,0,California,0,BYU,0,BYU,0,California,0,BYU,0,Bowling Green,0,Ball State,0
Houston,3,Navy,1,Air Force,0,Arkansas State,0,Arkansas State,0,Ball State,0,Buffalo,0,Buffalo,0,Bowling Green,0,Buffalo,0,Central Michigan,0,California,0,California,0,Central Michigan,0,California,0,Buffalo,0,Boston College,0
North Texas,3,Air Force,0,Akron,0,Ball State,0,Ball State,0,Boston College,0,BYU,0,BYU,0,Buffalo,0,BYU,0,Charlotte,0,Central Michigan,0,Central Michigan,0,Charlotte,0,Central Michigan,0,BYU,0,Bowling Green,0
Temple,2,Akron,0,Arizona,0,Baylor,0,Baylor,0,Bowling Green,0,Central Michigan,0,Central Michigan,0,BYU,0,California,0,Coastal Carolina,0,Charlotte,0,Charlotte,0,Coastal Carolina,0,Charlotte,0,Central Michigan,0,Buffalo,0
Arizona State,2,Arizona,0,Arkansas,0,Boston College,0,Boston College,0,Buffalo,0,Charlotte,0,Charlotte,0,California,0,Central Michigan,0,Colorado,0,Coastal Carolina,0,Coastal Carolina,0,Colorado,0,Coastal Carolina,0,Charlotte,0,BYU,0
UCLA,2,Arkansas,0,Arkansas State,0,Bowling Green,0,Bowling Green,0,BYU,0,Coastal Carolina,0,Coastal Carolina,0,Central Michigan,0,Charlotte,0,Colorado State,0,Colorado,0,Colorado,0,Colorado State,0,Colorado,0,Coastal Carolina,0,Central Michigan,0
Minnesota,1,Arkansas State,0,Ball State,0,Buffalo,0,Buffalo,0,Central Michigan,0,Colorado,0,Colorado,0,Charlotte,0,Coastal Carolina,0,Connecticut,0,Colorado State,0,Colorado State,0,Connecticut,0,Colorado State,0,Colorado,0,Charlotte,0
Ole Miss,1,Ball State,0,Baylor,0,Central Michigan,0,BYU,0,Charlotte,0,Colorado State,0,Colorado State,0,Coastal Carolina,0,Colorado,0,Duke,0,Connecticut,0,Connecticut,0,Duke,0,Connecticut,0,Colorado State,0,Coastal Carolina,0
Tennessee,1,Baylor,0,Bowling Green,0,Charlotte,0,Central Michigan,0,Cincinnati,0,Connecticut,0,Connecticut,0,Colorado,0,Colorado State,0,East Carolina,0,Duke,0,Duke,0,East Carolina,0,Duke,0,Connecticut,0,Colorado,0
Troy,1,Bowling Green,0,Buffalo,0,Cincinnati,0,Charlotte,0,Coastal Carolina,0,Duke,0,East Carolina,0,Colorado State,0,Connecticut,0,Eastern Michigan,0,East Carolina,0,East Carolina,0,Eastern Michigan,0,East Carolina,0,Duke,0,Colorado State,0
Air Force,0,Buffalo,0,BYU,0,Coastal Carolina,0,Cincinnati,0,Colorado State,0,East Carolina,0,Eastern Michigan,0,Connecticut,0,Duke,0,Florida Atlantic,0,Eastern Michigan,0,Eastern Michigan,0,Florida Atlantic,0,Eastern Michigan,0,East Carolina,0,Connecticut,0
Akron,0,BYU,0,Central Michigan,0,Colorado,0,Coastal Carolina,0,Connecticut,0,Eastern Michigan,0,Florida Atlantic,0,Duke,0,East Carolina,0,Florida Intl,0,Florida Atlantic,0,Florida Atlantic,0,Florida Intl,0,Florida Atlantic,0,Eastern Michigan,0,Duke,0
Arizona,0,California,0,Charlotte,0,Colorado State,0,Colorado State,0,East Carolina,0,Florida Atlantic,0,Florida Intl,0,East Carolina,0,Eastern Michigan,0,Florida State,0,Florida Intl,0,Florida Intl,0,Florida State,0,Florida Intl,0,Florida Intl,0,East Carolina,0
